run,step,seen,F0,Nt
0,0,5000,4884,4967.63
0,1,10000,9698,9926.1
0,2,15000,14507,14784.8
0,3,20000,19325,19617.8
0,4,25000,24115,24110.8
0,5,30000,28892,28785.2
0,6,35000,33691,33660
0,7,40000,38480,39116.4
0,8,45000,43269,43965.6
0,9,50000,48048,48665.3
0,10,55000,52828,53266.4
0,11,60000,57581,58108.5
0,12,65000,62333,62761.2
0,13,70000,67087,67500.4
0,14,75000,71815,72298.2
0,15,80000,76546,76826.5
0,16,85000,81318,81168.9
0,17,90000,86074,86490.3
0,18,95000,90807,90479.1
0,19,100000,95555,94961.4
1,0,5000,4891,5011.58
1,1,10000,9711,9760.24
1,2,15000,14504,14431.3
1,3,20000,19336,19308
1,4,25000,24138,23827.1
1,5,30000,28934,28375.5
1,6,35000,33748,32926.4
1,7,40000,38514,37584.5
1,8,45000,43316,42388.3
1,9,50000,48131,47052.9
1,10,55000,52919,51825.1
1,11,60000,57718,56097.6
1,12,65000,62470,60595
1,13,70000,67230,65069.9
1,14,75000,71986,69803.4
1,15,80000,76747,74522.9
1,16,85000,81493,79415.5
1,17,90000,86230,84408.2
1,18,95000,90980,88835.8
1,19,100000,95734,93815.2
2,0,5000,4882,4930.81
2,1,10000,9707,9549.06
2,2,15000,14528,14430.5
2,3,20000,19351,19036.9
2,4,25000,24161,23477.1
2,5,30000,28973,28179.8
2,6,35000,33773,33501.5
2,7,40000,38553,38372.6
2,8,45000,43349,43200.3
2,9,50000,48135,48059.5
2,10,55000,52918,52953.3
2,11,60000,57698,57943.6
2,12,65000,62459,63517.8
2,13,70000,67217,67976.7
2,14,75000,71977,72646.7
2,15,80000,76707,76804.4
2,16,85000,81441,80946.3
2,17,90000,86200,86151.4
2,18,95000,90949,90396.5
2,19,100000,95723,94849.3
3,0,5000,4885,4838.53
3,1,10000,9744,9760.24
3,2,15000,14578,14705
3,3,20000,19391,19752
3,4,25000,24217,24817
3,5,30000,29001,30028.9
3,6,35000,33794,34657.8
3,7,40000,38581,39283.7
3,8,45000,43367,44128.3
3,9,50000,48157,49175.6
3,10,55000,52937,53447.5
3,11,60000,57699,57463.4
3,12,65000,62448,61346.3
3,13,70000,67235,66067.6
3,14,75000,71974,70402.3
3,15,80000,76707,75081.1
3,16,85000,81457,79634.5
3,17,90000,86218,84612.3
3,18,95000,90941,89193.5
3,19,100000,95676,94318.1
4,0,5000,4864,4874.54
4,1,10000,9694,9590.44
4,2,15000,14481,14567.2
4,3,20000,19286,19451.6
4,4,25000,24101,24296.7
4,5,30000,28903,28948.3
4,6,35000,33691,33656.8
4,7,40000,38456,38601.2
4,8,45000,43247,43720.5
4,9,50000,48061,48382.4
4,10,55000,52807,52767.4
4,11,60000,57594,57839.9
4,12,65000,62356,62153.1
4,13,70000,67122,66917.8
4,14,75000,71879,71185.6
4,15,80000,76644,76079.3
4,16,85000,81388,80466
4,17,90000,86132,85624.8
4,18,95000,90884,90700.1
4,19,100000,95611,96416.2
5,0,5000,4876,4867.97
5,1,10000,9705,9695.74
5,2,15000,14504,14751.9
5,3,20000,19295,19529.6
5,4,25000,24111,24193.8
5,5,30000,28908,29027.2
5,6,35000,33695,33734.9
5,7,40000,38493,38328.2
5,8,45000,43255,42991.3
5,9,50000,48051,47392
5,10,55000,52840,52146.5
5,11,60000,57599,57134.6
5,12,65000,62378,61814.5
5,13,70000,67148,66647.3
5,14,75000,71908,71462.8
5,15,80000,76670,76059.7
5,16,85000,81399,81285.1
5,17,90000,86138,87133
5,18,95000,90879,92132.1
5,19,100000,95614,96655.9
6,0,5000,4876,4917.5
6,1,10000,9720,9814.79
6,2,15000,14527,14617.8
6,3,20000,19326,19050.6
