step,seen,meanNt,stdNt
0,5000,4879.71,57.6455
1,10000,9681.36,146.705
2,15000,14572.8,163.534
3,20000,19305.3,261.569
4,25000,24099.6,410.506
5,30000,28878.3,533.342
6,35000,33739.1,592.545
7,40000,38573.3,694.463
8,45000,43404.2,762.102
9,50000,48224.2,895.326
10,55000,53038.6,989.599
11,60000,57988.2,1160.11
12,65000,62750.6,1329.35
13,70000,67520.2,1343.97
14,75000,72148.5,1397.46
15,80000,76762.6,1406.02
16,85000,81542.4,1343.05
17,90000,86391.4,1484.65
18,95000,91258,1517.19
19,100000,95942.3,1383.89
