run,step,seen,F0,Nt
0,0,5000,4884,4815.79
0,1,10000,9698,9825.78
0,2,15000,14507,14629.6
0,3,20000,19325,19545.7
0,4,25000,24115,24534.4
0,5,30000,28892,29512.9
0,6,35000,33691,34868.9
0,7,40000,38480,39767.5
0,8,45000,43269,44817.9
0,9,50000,48048,49565.1
0,10,55000,52828,54512.8
0,11,60000,57581,59226.9
0,12,65000,62333,63429.4
0,13,70000,67087,67632
0,14,75000,71815,72036.2
0,15,80000,76546,76714.7
0,16,85000,81318,80953.5
0,17,90000,86074,85744.2
0,18,95000,90807,90163.3
0,19,100000,95555,94588.4
1,0,5000,4891,4947.5
1,1,10000,9711,9760.24
1,2,15000,14504,14445.2
1,3,20000,19336,19222.1
1,4,25000,24138,23520.2
1,5,30000,28934,28424.8
1,6,35000,33748,33357.7
1,7,40000,38514,37805.1
1,8,45000,43316,42193.4
1,9,50000,48131,47043
1,10,55000,52919,51481.5
1,11,60000,57718,55685.8
1,12,65000,62470,60843.5
1,13,70000,67230,65669.6
1,14,75000,71986,70024.1
1,15,80000,76747,74012.3
1,16,85000,81493,78930.6
1,17,90000,86230,83631.5
1,18,95000,90980,87963.8
1,19,100000,95734,93325.1
2,0,5000,4882,4914.18
2,1,10000,9707,9663.86
2,2,15000,14528,14588.4
2,3,20000,19351,19495
2,4,25000,24161,24396.9
2,5,30000,28973,29493
2,6,35000,33773,34371.1
2,7,40000,38553,39064.3
2,8,45000,43349,43771
2,9,50000,48135,48665.5
2,10,55000,52918,53558.4
2,11,60000,57698,58317.2
2,12,65000,62459,63408.7
2,13,70000,67217,67266.1
2,14,75000,71977,71589.9
2,15,80000,76707,76100.8
2,16,85000,81441,80800.7
2,17,90000,86200,84564.1
2,18,95000,90949,88474
2,19,100000,95723,94086.1
3,0,5000,4885,4950.85
3,1,10000,9744,9982.91
3,2,15000,14578,14605.1
3,3,20000,19391,19448
3,4,25000,24217,24002.8
3,5,30000,29001,28423.1
3,6,35000,33794,33230.1
3,7,40000,38581,38168.8
3,8,45000,43367,42288.3
3,9,50000,48157,47020.8
3,10,55000,52937,51254.5
3,11,60000,57699,55920.4
3,12,65000,62448,60663.4
3,13,70000,67235,65960.3
3,14,75000,71974,70795.4
3,15,80000,76707,75197.7
3,16,85000,81457,80729.6
3,17,90000,86218,85524.1
3,18,95000,90941,91101.4
3,19,100000,95676,96610.3
4,0,5000,4864,4832.02
4,1,10000,9694,9695.74
4,2,15000,14481,14674.1
4,3,20000,19286,19430.5
4,4,25000,24101,24016.8
4,5,30000,28903,28803.1
4,6,35000,33691,33785.7
4,7,40000,38456,38601.6
4,8,45000,43247,43125.6
4,9,50000,48061,47757.2
4,10,55000,52807,53316.2
4,11,60000,57594,58018.5
4,12,65000,62356,62575.5
4,13,70000,67122,67335.2
4,14,75000,71879,71785.3
4,15,80000,76644,77037.9
4,16,85000,81388,81571.9
4,17,90000,86132,86622.7
4,18,95000,90884,90829.7
4,19,100000,95611,95690.7
5,0,5000,4876,4828.77
5,1,10000,9705,9727.86
5,2,15000,14504,14601.1
5,3,20000,19295,19277.4
5,4,25000,24111,23963.6
5,5,30000,28908,28464.9
5,6,35000,33695,33383.2
5,7,40000,38493,38254.2
5,8,45000,43255,42930.3
5,9,50000,48051,47490
5,10,55000,52840,51839.7
5,11,60000,57599,55986.6
5,12,65000,62378,60622.2
5,13,70000,67148,65286.9
5,14,75000,71908,70410.8
5,15,80000,76670,75558.8
5,16,85000,81399,79995.8
5,17,90000,86138,84325.6
5,18,95000,90879,89072.8
5,19,100000,95614,93213.8
6,0,5000,4876,4954.2
6,1,10000,9720,9538.78
6,2,15000,14527,14713.4
6,3,20000,19326,19287.3
6,4,25000,24126,24054.7
6,5,30000,28935,28787.4
6,6,35000,33717,33578.6
6,7,40000,38502,38059
6,8,45000,43279,43377
6,9,50000,48069,47929.3
6,10,55000,52845,52171.5
6,11,60000,57604,56676.7
6,12,65000,62377,61383.6
6,13,70000,67120,65775.8
6,14,75000,71889,70373.8
6,15,80000,76668,75189.6
6,16,85000,81424,80589
6,17,90000,86190,85673.1
6,18,95000,90934,90200.9
6,19,100000,95669,94537.2
7,0,5000,4880,4777.09
7,1,10000,9703,9559.37
7,2,15000,14537,14345.9
7,3,20000,19341,18723.6
7,4,25000,24151,23362.5
7,5,30000,28949,28393.5
7,6,35000,33754,33280.2
7,7,40000,38559,38174
7,8,45000,43334,43163.4
7,9,50000,48132,48140.4
7,10,55000,52890,52547.9
7,11,60000,57671,57585.3
7,12,65000,62433,62421.9
7,13,70000,67200,67170.1
7,14,75000,71947,72249.1
7,15,80000,76688,76295.5
7,16,85000,81398,80531.2
7,17,90000,86176,85565.8
7,18,95000,90913,90549.7
7,19,100000,95643,95834.2
8,0,5000,4886,4812.55
8,1,10000,9733,9580.05
8,2,15000,14539,14427.3
8,3,20000,19361,19385.2
8,4,25000,24137,23952.8
8,5,30000,28948,28365.6
8,6,35000,33751,33337.5
8,7,40000,38545,38520
8,8,45000,43335,42779.9
8,9,50000,48130,47633.8
8,10,55000,52896,52601.6
8,11,60000,57680,57996.1
8,12,65000,62458,63485.7
8,13,70000,67224,68921.2
8,14,75000,71955,73541.1
8,15,80000,76707,78143.9
8,16,85000,81454,82114.1
8,17,90000,86228,86656.4
8,18,95000,91003,92159.8
8,19,100000,95740,96512
9,0,5000,4887,4924.15
9,1,10000,9708,9621.74
9,2,15000,14516,14337.6
9,3,20000,19301,19211.6
9,4,25000,24087,23951.5
9,5,30000,28894,28857.8
9,6,35000,33701,33684.9
9,7,40000,38490,38169.4
9,8,45000,43275,42887.7
9,9,50000,48054,48199.9
9,10,55000,52816,52468.6
9,11,60000,57592,57839.4
9,12,65000,62352,61734.8
9,13,70000,67104,66610.5
9,14,75000,71855,71543.7
9,15,80000,76617,76297.5
9,16,85000,81343,80909.1
9,17,90000,86085,86258.9
9,18,95000,90796,91232.1
9,19,100000,95523,95375
10,0,5000,4883,4887.71
10,1,10000,9730,9903.59
10,2,15000,14535,14805.9
10,3,20000,19359,19525
10,4,25000,24174,24659.5
10,5,30000,28974,29696.5
10,6,35000,33753,34585.5
10,7,40000,38547,39391.6
10,8,45000,43325,44078.5
10,9,50000,48087,49439.8
10,10,55000,52877,54367.6
10,11,60000,57643,59423.6
10,12,65000,62397,64090.7
10,13,70000,67136,68515.8
10,14,75000,71877,73433.9
10,15,80000,76639,78438.6
10,16,85000,81395,82899.6
10,17,90000,86141,87819.4
10,18,95000,90894,93355.4
10,19,100000,95626,97956.1
11,0,5000,4902,4900.92
11,1,10000,9750,9695.74
11,2,15000,14576,14651.6
11,3,20000,19382,19586.8
11,4,25000,24190,24356.7
11,5,30000,29001,29463.4
11,6,35000,33820,33747.2
11,7,40000,38619,38678.7
11,8,45000,43410,43274.8
11,9,50000,48196,48033.8
11,10,55000,52964,53015
11,11,60000,57728,57509.6
11,12,65000,62492,62647.5
11,13,70000,67247,67473.9
11,14,75000,71993,72199.8
11,15,80000,76732,77006.6
11,16,85000,81470,82574.1
11,17,90000,86177,86855.4
11,18,95000,90933,91237.6
11,19,100000,95670,96878.4
12,0,5000,4883,4861.41
12,1,10000,9698,9663.86
12,2,15000,14503,14781.6
12,3,20000,19296,19693.8
12,4,25000,24105,24582.9
12,5,30000,28904,29376.1
12,6,35000,33710,33386
12,7,40000,38497,38558.4
12,8,45000,43264,43659.7
12,9,50000,48065,48820.3
12,10,55000,52844,53191.4
12,11,60000,57622,57557
12,12,65000,62356,62904.1
12,13,70000,67125,67452.9
12,14,75000,71881,71813.9
12,15,80000,76630,76453.2
12,16,85000,81343,80841.6
12,17,90000,86102,85977.7
12,18,95000,90812,91189
12,19,100000,95557,95433.2
13,0,5000,4910,4937.48
13,1,10000,9729,9760.24
13,2,15000,14546,14800.1
13,3,20000,19349,19519.2
13,4,25000,24169,24375.5
13,5,30000,28951,28982.8
13,6,35000,33746,33624.3
13,7,40000,38526,38049.1
13,8,45000,43322,42201.9
13,9,50000,48105,47480.8
13,10,55000,52842,51722
13,11,60000,57602,56220.2
13,12,65000,62387,61198.7
13,13,70000,67128,66132.4
13,14,75000,71909,70619.4
13,15,80000,76680,74899
13,16,85000,81432,79531
13,17,90000,86188,84194.4
13,18,95000,90957,89057.3
13,19,100000,95681,93462.7
14,0,5000,4899,4940.82
14,1,10000,9711,9538.78
14,2,15000,14540,14834.6
14,3,20000,19358,19756
14,4,25000,24184,24453.7
14,5,30000,28990,29154.2
14,6,35000,33786,33881.3
14,7,40000,38552,38654.5
14,8,45000,43322,43038.4
14,9,50000,48087,47291.1
14,10,55000,52848,52518.1
14,11,60000,57606,57532.8
14,12,65000,62346,62257.5
14,13,70000,67112,66899.3
14,14,75000,71865,71033
14,15,80000,76634,76286
14,16,85000,81391,80829.2
14,17,90000,86138,85065.6
14,18,95000,90886,89621.5
14,19,100000,95632,93492.6
15,0,5000,4879,4971
15,1,10000,9703,9738.63
15,2,15000,14539,14537.1
15,3,20000,19345,19277.3
15,4,25000,24157,24097.9
15,5,30000,28939,28413.2
15,6,35000,33756,33365.4
15,7,40000,38554,38163.9
15,8,45000,43341,42572.2
15,9,50000,48113,47543.7
15,10,55000,52879,52364.1
15,11,60000,57657,57124.4
15,12,65000,62430,62224.2
15,13,70000,67192,66806.8
15,14,75000,71958,71354.6
15,15,80000,76702,75525.9
15,16,85000,81453,80222.6
15,17,90000,86163,84790.2
15,18,95000,90918,90301.2
15,19,100000,95620,95159.7
16,0,5000,4877,4716.54
16,1,10000,9686,9781.97
16,2,15000,14504,14500.3
16,3,20000,19301,19339.6
16,4,25000,24100,24260.6
16,5,30000,28892,28839.1
16,6,35000,33687,33872.9
16,7,40000,38470,38683.5
16,8,45000,43239,42908.7
16,9,50000,48001,47802.3
16,10,55000,52758,52047.8
16,11,60000,57523,56335.2
16,12,65000,62305,61100.9
16,13,70000,67075,66050.1
16,14,75000,71825,71465.5
16,15,80000,76603,76964.2
16,16,85000,81360,81998.3
16,17,90000,86103,86586.8
16,18,95000,90842,92020.8
16,19,100000,95568,95792.2
17,0,5000,4886,4934.14
17,1,10000,9704,9397.53
17,2,15000,14531,14286.6
17,3,20000,19343,19213.9
17,4,25000,24162,24441.6
17,5,30000,28948,29235.7
17,6,35000,33731,34281.8
17,7,40000,38527,39511.1
17,8,45000,43325,44929.4
17,9,50000,48110,49574.6
17,10,55000,52889,54247.7
17,11,60000,57658,59268.2
17,12,65000,62427,64356.2
17,13,70000,67183,68547
17,14,75000,71951,73603.4
