step,seen,meanNt,stdNt
0,5000,4884.8,67.3654
1,10000,9699.52,133.52
2,15000,14593,157.824
3,20000,19390.1,230.068
4,25000,24151.2,340.023
5,30000,28892.6,443.499
6,35000,33724.2,482.63
7,40000,38502.5,576.889
8,45000,43191.5,761.916
9,50000,48037.3,798.58
10,55000,52687.5,958.358
11,60000,57401.7,1118.2
12,65000,62270.9,1099.81
13,70000,66972.5,981.055
14,75000,71669.2,1029.81
15,80000,76343.8,1102.05
16,85000,81061.3,1107.71
17,90000,85782.3,1256.66
18,95000,90653.2,1361.35
19,100000,95266.2,1390.82
